cx,cy,w,h,area_px
411,924,9,9,63.5
503,926,9,8,56.0
526,926,8,8,49.0
550,926,8,8,49.0
574,926,9,8,56.0
597,926,8,8,49.0
621,926,8,8,49.0
645,926,9,8,56.0
668,926,8,8,49.0
692,926,8,8,49.0
716,926,9,8,56.0
740,926,9,8,56.0
763,926,8,8,49.0
787,926,9,8,56.0
811,926,9,8,56.0
834,926,8,8,49.0
920,925,9,8,56.0
943,925,8,8,49.0
967,925,9,8,56.0
991,925,9,8,56.0
1062,925,9,8,56.0
1085,925,8,8,49.0
1109,925,8,8,49.0
1156,925,8,8,49.0
1180,925,8,8,49.0
1204,925,9,8,56.0
1227,925,8,8,49.0
341,948,9,8,56.0
364,948,8,8,49.0
388,948,9,8,56.0
412,948,9,8,56.0
919,949,9,9,63.0
943,949,8,9,56.0
967,949,9,9,64.0
991,949,9,9,64.0
503,950,9,8,56.0
526,950,8,8,49.0
550,950,8,8,49.0
574,950,9,8,56.0
597,950,8,8,49.0
621,950,8,8,49.0
645,950,9,8,56.0
668,950,8,8,49.0
692,950,8,8,49.0
716,950,9,8,56.0
740,950,9,8,56.0
763,950,8,8,49.0
787,950,9,8,56.0
811,950,9,8,56.0
834,950,8,8,49.0
